Strategy,Total Output,End WIP,Avg Cycle Time,Strategy Label
original,45,48,17.22,Base Game
original,53,60,15.18,Base Game
original,58,40,14.23,Base Game
original,47,50,15.27,Base Game
original,53,57,15.76,Base Game
original,53,44,15.06,Base Game
original,54,48,14.44,Base Game
original,54,58,13.78,Base Game
original,51,56,15.13,Base Game
original,56,44,14.2,Base Game
original,55,43,14.95,Base Game
original,54,30,12.0,Base Game
original,54,41,15.89,Base Game
original,55,63,16.0,Base Game
original,42,63,17.5,Base Game
original,59,35,13.09,Base Game
original,47,57,14.82,Base Game
original,52,67,15.94,Base Game
original,51,48,16.87,Base Game
original,51,59,15.67,Base Game
original,44,61,17.88,Base Game
original,51,47,13.6,Base Game
original,51,56,16.0,Base Game
original,55,53,15.53,Base Game
original,54,64,16.33,Base Game
original,50,57,14.86,Base Game
original,51,55,16.2,Base Game
original,47,65,16.82,Base Game
original,53,53,14.76,Base Game
original,45,57,16.56,Base Game
original,57,49,15.67,Base Game
original,53,56,15.35,Base Game
original,50,62,16.0,Base Game
original,54,67,15.22,Base Game
original,54,56,13.56,Base Game
original,51,49,15.4,Base Game
original,48,50,15.83,Base Game
original,56,65,15.05,Base Game
original,49,62,17.54,Base Game
original,47,70,16.09,Base Game
original,50,51,14.5,Base Game
original,56,43,15.15,Base Game
original,53,56,15.47,Base Game
original,54,59,14.39,Base Game
original,52,43,16.62,Base Game
original,57,39,15.62,Base Game
original,54,66,14.44,Base Game
original,55,47,15.79,Base Game
original,50,46,15.5,Base Game
original,48,70,16.0,Base Game
original,52,54,14.5,Base Game
original,54,48,15.28,Base Game
original,48,60,15.5,Base Game
original,51,48,15.27,Base Game
original,56,50,15.85,Base Game
original,56,59,14.05,Base Game
original,48,43,15.5,Base Game
original,54,64,15.22,Base Game
original,48,68,15.33,Base Game
original,50,71,16.43,Base Game
original,54,63,16.5,Base Game
original,58,41,13.82,Base Game
original,47,55,15.09,Base Game
original,48,53,15.67,Base Game
original,52,60,16.31,Base Game
original,54,55,14.33,Base Game
original,55,53,15.26,Base Game
original,52,62,15.0,Base Game
original,48,56,15.75,Base Game
original,53,57,14.59,Base Game
original,51,70,15.13,Base Game
original,55,65,15.53,Base Game
original,55,56,14.58,Base Game
original,50,69,16.57,Base Game
original,51,47,14.6,Base Game
original,53,48,15.59,Base Game
original,46,63,17.8,Base Game
original,61,43,14.72,Base Game
original,55,53,13.32,Base Game
original,56,30,12.95,Base Game
original,53,59,14.0,Base Game
original,54,58,14.33,Base Game
original,55,55,17.42,Base Game
original,51,50,16.27,Base Game
original,54,48,14.28,Base Game
original,50,56,16.57,Base Game
original,52,45,14.56,Base Game
original,55,65,16.21,Base Game
original,51,52,16.27,Base Game
original,54,57,14.61,Base Game
original,50,61,15.93,Base Game
original,54,39,16.22,Base Game
original,52,58,15.25,Base Game
original,48,71,16.0,Base Game
original,54,50,15.5,Base Game
original,55,59,14.37,Base Game
original,55,42,14.47,Base Game
original,52,44,14.12,Base Game
original,53,42,14.65,Base Game
original,50,67,16.57,Base Game
original,53,61,16.76,Base Game
original,52,57,15.38,Base Game
original,53,45,15.0,Base Game
original,54,63,15.22,Base Game
original,53,57,13.41,Base Game
original,52,54,13.94,Base Game
original,54,57,14.06,Base Game
original,54,64,15.06,Base Game
original,49,68,16.69,Base Game
original,48,52,16.83,Base Game
original,57,52,15.86,Base Game
original,48,46,16.67,Base Game
original,57,54,14.29,Base Game
original,58,47,14.82,Base Game
original,49,51,16.23,Base Game
original,56,41,13.11,Base Game
original,47,62,16.91,Base Game
original,55,37,14.16,Base Game
original,49,64,14.69,Base Game
original,59,50,15.57,Base Game
original,51,56,16.0,Base Game
original,54,55,15.67,Base Game
original,50,52,14.71,Base Game
original,51,60,16.67,Base Game
original,52,52,16.31,Base Game
original,60,37,12.75,Base Game
original,59,61,15.48,Base Game
original,57,48,14.81,Base Game
original,50,61,16.64,Base Game
original,55,46,14.79,Base Game
original,45,69,18.11,Base Game
original,62,44,14.08,Base Game
original,54,59,15.44,Base Game
original,50,57,17.07,Base Game
original,53,52,15.18,Base Game
original,45,48,18.33,Base Game
original,46,55,15.9,Base Game
original,49,52,15.46,Base Game
original,57,54,15.71,Base Game
original,50,70,17.71,Base Game
original,54,65,15.06,Base Game
original,52,55,15.0,Base Game
original,50,63,16.31,Base Game
original,53,51,15.41,Base Game
original,53,54,14.06,Base Game
original,52,49,13.62,Base Game
original,53,57,14.24,Base Game
original,45,49,15.56,Base Game
original,49,61,15.69,Base Game
original,53,55,15.82,Base Game
original,56,46,14.7,Base Game
original,47,67,16.55,Base Game
original,54,51,14.83,Base Game
original,57,58,14.9,Base Game
original,55,54,15.58,Base Game
original,50,59,16.43,Base Game
original,60,42,13.3,Base Game
original,51,42,15.2,Base Game
original,51,47,16.47,Base Game
original,46,77,18.1,Base Game
original,50,63,15.0,Base Game
original,45,49,16.11,Base Game
original,46,52,15.6,Base Game
original,47,60,16.73,Base Game
original,48,52,15.67,Base Game
original,53,59,15.76,Base Game
original,54,42,13.5,Base Game
original,55,46,14.26,Base Game
original,56,45,14.2,Base Game
original,48,52,15.75,Base Game
original,47,51,17.45,Base Game
original,63,47,14.74,Base Game
original,47,60,17.36,Base Game
original,55,54,15.0,Base Game
original,48,68,15.17,Base Game
original,59,42,15.26,Base Game
original,55,45,12.26,Base Game
original,54,51,15.83,Base Game
original,47,52,17.45,Base Game
original,55,62,15.63,Base Game
original,60,50,12.46,Base Game
original,52,60,16.94,Base Game
original,49,57,15.77,Base Game
original,58,41,14.18,Base Game
original,56,68,15.8,Base Game
original,49,54,16.54,Base Game
original,48,75,18.42,Base Game
original,55,61,15.05,Base Game
original,55,74,15.47,Base Game
original,53,48,13.76,Base Game
original,56,50,15.15,Base Game
original,56,42,13.65,Base Game
original,44,53,18.12,Base Game
original,52,69,15.75,Base Game
original,49,52,16.62,Base Game
original,52,51,14.69,Base Game
original,55,56,16.26,Base Game
original,49,50,14.69,Base Game
original,55,38,14.53,Base Game
original,49,54,14.46,Base Game
original,50,56,14.5,Base Game
original,58,57,15.41,Base Game
original,53,47,14.88,Base Game
original,50,66,17.07,Base Game
original,50,48,14.93,Base Game
original,45,69,17.0,Base Game
original,52,74,15.94,Base Game
original,59,40,12.52,Base Game
original,53,50,15.65,Base Game
original,51,65,15.4,Base Game
original,51,60,16.87,Base Game
original,49,64,15.69,Base Game
original,56,53,14.65,Base Game
original,50,62,18.0,Base Game
original,54,58,14.22,Base Game
original,55,70,15.05,Base Game
original,52,62,14.81,Base Game
original,51,62,16.07,Base Game
original,53,66,17.65,Base Game
original,51,62,16.27,Base Game
original,50,54,15.71,Base Game
original,48,55,16.92,Base Game
original,51,56,16.0,Base Game
original,55,53,14.26,Base Game
original,50,70,16.57,Base Game
original,54,70,16.17,Base Game
original,48,48,15.25,Base Game
original,50,61,16.29,Base Game
original,60,24,14.54,Base Game
original,54,48,13.56,Base Game
original,55,67,17.0,Base Game
original,51,61,14.67,Base Game
original,52,56,14.88,Base Game
original,53,56,15.12,Base Game
original,53,57,15.12,Base Game
original,58,57,14.0,Base Game
original,49,71,15.23,Base Game
original,53,46,13.0,Base Game
original,53,47,13.76,Base Game
original,54,65,14.89,Base Game
original,55,45,13.79,Base Game
original,54,51,15.0,Base Game
original,51,63,15.8,Base Game
original,47,60,16.91,Base Game
original,56,43,13.05,Base Game
original,52,68,17.44,Base Game
original,44,59,17.5,Base Game
original,56,36,13.15,Base Game
original,51,51,16.87,Base Game
original,54,47,14.28,Base Game
original,57,43,14.62,Base Game
original,59,41,14.61,Base Game
original,53,47,15.65,Base Game
original,52,54,15.25,Base Game
original,52,47,12.25,Base Game
original,45,72,18.44,Base Game
original,55,42,14.63,Base Game
original,58,56,15.23,Base Game
original,51,64,16.13,Base Game
original,54,52,15.89,Base Game
original,58,50,14.5,Base Game
original,50,62,16.93,Base Game
original,53,64,15.53,Base Game
original,47,61,16.82,Base Game
original,49,61,15.15,Base Game
original,45,62,15.44,Base Game
original,54,62,14.89,Base Game
original,57,60,13.67,Base Game
original,53,52,15.82,Base Game
original,47,50,15.91,Base Game
original,55,59,15.0,Base Game
original,52,56,15.56,Base Game
original,56,58,15.85,Base Game
original,54,56,16.61,Base Game
original,58,56,13.59,Base Game
original,53,64,15.18,Base Game
original,51,52,13.93,Base Game
original,54,60,16.28,Base Game
original,46,62,16.6,Base Game
original,57,51,15.38,Base Game
original,59,49,14.35,Base Game
original,60,41,13.83,Base Game
original,56,47,14.15,Base Game
original,50,46,15.57,Base Game
original,56,59,14.1,Base Game
original,56,56,14.0,Base Game
original,53,38,14.65,Base Game
original,48,56,15.42,Base Game
original,56,66,14.95,Base Game
original,51,52,14.0,Base Game
original,57,47,14.62,Base Game
original,51,55,14.53,Base Game
original,56,53,16.15,Base Game
original,51,56,15.13,Base Game
original,58,54,14.18,Base Game
original,51,41,15.33,Base Game
original,49,65,16.92,Base Game
original,51,49,15.8,Base Game
original,45,48,16.22,Base Game
original,53,65,16.18,Base Game
original,53,51,15.59,Base Game
original,51,61,17.07,Base Game
original,53,51,14.24,Base Game
original,53,64,16.41,Base Game
original,56,49,16.0,Base Game
original,53,51,14.82,Base Game
original,56,57,14.2,Base Game
original,48,59,15.18,Base Game
original,56,60,15.0,Base Game
original,52,55,14.62,Base Game
original,47,48,15.36,Base Game
original,52,61,15.81,Base Game
original,56,50,13.3,Base Game
original,50,64,14.5,Base Game
original,53,62,16.0,Base Game
original,48,59,16.83,Base Game
original,47,56,16.55,Base Game
original,49,57,15.54,Base Game
original,56,47,14.05,Base Game
original,51,62,15.6,Base Game
original,53,60,15.24,Base Game
original,52,43,15.75,Base Game
original,56,47,14.55,Base Game
original,56,57,14.55,Base Game
original,57,42,14.86,Base Game
original,49,60,14.69,Base Game
original,58,55,13.09,Base Game
original,52,48,14.88,Base Game
original,46,60,15.4,Base Game
original,59,36,12.0,Base Game
original,50,55,16.21,Base Game
original,56,49,14.15,Base Game
original,52,51,15.38,Base Game
original,45,66,18.67,Base Game
original,57,41,13.24,Base Game
original,49,53,16.15,Base Game
original,53,56,15.35,Base Game
original,54,49,15.33,Base Game
original,53,52,14.76,Base Game
original,49,53,14.54,Base Game
original,55,59,15.42,Base Game
original,51,49,16.93,Base Game
original,57,53,14.33,Base Game
original,49,56,17.54,Base Game
original,52,52,15.44,Base Game
original,56,61,13.55,Base Game
