SimID;Strategy;Strategy Label;Total Output;End WIP;Avg Cycle Time
0;original;Base Game;59;48;15,04
1;original;Base Game;47;52;17,36
2;original;Base Game;54;43;13,94
3;original;Base Game;48;54;16,5
4;original;Base Game;49;63;17,46
5;original;Base Game;51;59;16,4
6;original;Base Game;52;46;15,56
7;original;Base Game;55;64;15,26
8;original;Base Game;54;56;16
9;original;Base Game;50;61;15,21
10;original;Base Game;51;62;15,27
11;original;Base Game;55;56;13,74
12;original;Base Game;51;43;14,33
13;original;Base Game;53;62;15,94
14;original;Base Game;56;44;14,5
15;original;Base Game;51;47;16,07
16;original;Base Game;53;59;15,29
17;original;Base Game;50;57;14,79
18;original;Base Game;52;45;15,25
19;original;Base Game;58;46;13,5
20;original;Base Game;50;65;17,29
21;original;Base Game;55;56;14,42
22;original;Base Game;52;52;16,38
23;original;Base Game;50;59;16,14
24;original;Base Game;49;62;16,92
25;original;Base Game;48;74;16,33
26;original;Base Game;48;67;16,33
27;original;Base Game;49;51;18,08
28;original;Base Game;51;46;14,93
29;original;Base Game;54;42;14,56
30;original;Base Game;52;49;16,31
31;original;Base Game;50;48;14,5
32;original;Base Game;57;51;15,38
33;original;Base Game;55;52;16,53
34;original;Base Game;48;68;16,58
35;original;Base Game;54;56;15,78
36;original;Base Game;56;47;14,55
37;original;Base Game;49;49;15,77
38;original;Base Game;49;63;15
39;original;Base Game;52;53;15,81
40;original;Base Game;52;44;15,31
41;original;Base Game;55;51;16,16
42;original;Base Game;49;61;15,85
43;original;Base Game;55;54;15,53
44;original;Base Game;58;49;13,95
45;original;Base Game;52;41;13,62
46;original;Base Game;57;52;15,57
47;original;Base Game;48;59;17,67
48;original;Base Game;46;60;15,5
49;original;Base Game;53;63;15,94
50;original;Base Game;52;60;15,81
51;original;Base Game;50;63;15,79
52;original;Base Game;52;59;15,06
53;original;Base Game;52;52;13,19
54;original;Base Game;53;35;12
55;original;Base Game;53;65;15,29
56;original;Base Game;51;54;14,6
57;original;Base Game;49;48;16
58;original;Base Game;52;59;16,12
59;original;Base Game;50;54;13,86
60;original;Base Game;47;51;17,36
61;original;Base Game;56;41;12,5
62;original;Base Game;53;56;15,18
63;original;Base Game;58;47;14
64;original;Base Game;51;52;16,47
65;original;Base Game;56;48;15,1
66;original;Base Game;50;63;15,86
67;original;Base Game;50;56;14,79
68;original;Base Game;49;40;12,62
69;original;Base Game;56;58;15,3
70;original;Base Game;55;47;14,37
71;original;Base Game;53;47;14,76
72;original;Base Game;54;50;14,72
73;original;Base Game;52;41;13,81
74;original;Base Game;51;66;15,73
75;original;Base Game;56;49;15
76;original;Base Game;57;49;13,52
77;original;Base Game;54;49;14,72
78;original;Base Game;56;46;14,55
79;original;Base Game;52;43;15,69
80;original;Base Game;47;66;16,73
81;original;Base Game;50;57;16,14
82;original;Base Game;55;49;14,84
83;original;Base Game;54;56;14,94
84;original;Base Game;52;57;16,12
85;original;Base Game;50;53;13,14
86;original;Base Game;51;61;16,27
87;original;Base Game;53;49;15,53
88;original;Base Game;49;67;16
89;original;Base Game;46;60;18,4
90;original;Base Game;52;55;15,44
91;original;Base Game;51;56;16,4
92;original;Base Game;56;54;15,5
93;original;Base Game;54;43;13,28
94;original;Base Game;56;42;12
95;original;Base Game;48;72;16
96;original;Base Game;46;47;16,4
97;original;Base Game;49;50;14,23
98;original;Base Game;52;52;14,81
99;original;Base Game;59;48;13,74
100;original;Base Game;57;39;13
101;original;Base Game;50;56;14,93
102;original;Base Game;44;59;17,12
103;original;Base Game;55;45;15,11
104;original;Base Game;52;71;17,06
105;original;Base Game;50;57;17
106;original;Base Game;52;54;13,62
107;original;Base Game;50;58;17,36
108;original;Base Game;55;47;14,89
109;original;Base Game;47;69;17,09
